artist,songs,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Hozier,Take Me To Church,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2,241688,4
Mike Posner,Cooler Than Me - Single Mix,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,audio_features,2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293,4
"Tyler, The Creator",See You Again (feat. Kali Uchis),spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4
Bastille,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148,4
Shakira,Hips Don't Lie (feat. Wyclef Jean),spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
The Script,Hall of Fame (feat. will.i.am),spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4
Otto Knows,Back Where I Belong (feat. Avicii),spotify:track:78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,audio_features,78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/audio-analysis/78W8wiUIlQ2SnWY9TVowKZ,174203,4
Selena Gomez,The Heart Wants What It Wants,spotify:track:2jcPoPin36hyNRSi4ZsqeB,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,audio_features,2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/audio-analysis/2jcPoPin36hyNRSi4ZsqeB,227373,4
Taio Cruz,Dynamite,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,audio_features,2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,4
Mohombi,Bumpy Ride,spotify:track:0tBRo4P60DgKmg4jt48upm,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,audio_features,0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/audio-analysis/0tBRo4P60DgKmg4jt48upm,224402,4
Lucenzo,Danza Kuduro (feat. Don Omar),spotify:track:1kAZhbcsXqfUjnVeqPywn2,0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,audio_features,1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2,202347,4
Cheek,Syypää sun hymyyn (feat. Yasmine Yamajako),spotify:track:2N2QvMYwyYHE8V4KZbbG4i,0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,audio_features,2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/audio-analysis/2N2QvMYwyYHE8V4KZbbG4i,230413,4
Flo Rida,Whistle,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,audio_features,0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/audio-analysis/0ltBH1JNzSvQJPjJpvTu9B,225000,4
Avril Lavigne,Girlfriend,spotify:track:5HbCnVLXRyZVxnreOPgJCK,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,audio_features,5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK,216600,4
Justin Bieber,Baby,spotify:track:4NFhtFE68cXUrfbne8JE2c,0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,audio_features,4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/tracks/4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/audio-analysis/4NFhtFE68cXUrfbne8JE2c,216520,4
Flo Rida,I Cry,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,audio_features,5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/tracks/5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/audio-analysis/5HE3z4Ew7wZ91l3ZOpGKa4,223800,4
Mohombi,Coconut Tree,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,audio_features,5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/tracks/5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/audio-analysis/5L9THbmMKB6ZlHlMgzaXHf,218373,4
Justin Bieber,One Less Lonely Girl,spotify:track:7qUcqYzOtfZe65bednDxmz,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,audio_features,7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/tracks/7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/audio-analysis/7qUcqYzOtfZe65bednDxmz,229107,4
Pikku G,Romeo ja Julia (feat. Sophie),spotify:track:0seHreoI3kwp38OlEgLLnT,0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,audio_features,0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/tracks/0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/audio-analysis/0seHreoI3kwp38OlEgLLnT,236200,4
Swedish House Mafia,Don't You Worry Child - Radio Edit,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919,audio_features,5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/tracks/5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/audio-analysis/5DcPOPPUnNhyPYbTi2aWjR,212841,4
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,audio_features,3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,258343,4
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],spotify:track:1HfPcQ3c2HyGeID3u1lmCa,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,audio_features,1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/tracks/1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/audio-analysis/1HfPcQ3c2HyGeID3u1lmCa,222500,4
Imagine Dragons,Radioactive,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,audio_features,6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/tracks/6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/audio-analysis/6Ep6BzIOB9tz3P4sWqiiAB,186813,4
Flo Rida,Whistle,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,audio_features,3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,224653,4
Calvin Harris,I Need Your Love (feat. Ellie Goulding),spotify:track:05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,audio_features,05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE,234507,4
Pitbull,Timber (feat. Ke$ha),spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,audio_features,3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,204160,4
will.i.am,Scream & Shout,spotify:track:2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,audio_features,2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5,283400,4
